                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.1391,                0.59463,                 1.0967,                0.94337,                0.93133,                0.96559,                0.65722,                 1.1875,                0.46398,                 1.0995,               0.006634,               0.006634,               0.006634
                     37,                 1.1382,                 0.5935,                 1.0974,                 0.9389,                0.93571,                0.96686,                0.65968,                 1.1754,                0.46394,                 1.0952,               0.006535,               0.006535,               0.006535
                     38,                 1.1367,                0.59105,                 1.0967,                 0.9455,                0.93175,                0.96815,                0.66049,                 1.1723,                0.46465,                  1.092,               0.006436,               0.006436,               0.006436
                     39,                 1.1337,                0.58722,                  1.095,                0.94653,                0.93086,                0.96849,                0.65543,                 1.1897,                0.46691,                 1.0967,               0.006337,               0.006337,               0.006337
                     40,                 1.1249,                 0.5822,                 1.0959,                0.94459,                0.93326,                0.96895,                0.66043,                 1.1745,                  0.463,                  1.098,               0.006238,               0.006238,               0.006238
                     41,                 1.1202,                0.57934,                 1.0864,                0.94926,                0.93032,                0.96708,                0.66197,                 1.1673,                0.45631,                 1.0876,               0.006139,               0.006139,               0.006139
                     42,                 1.1211,                0.57697,                 1.0903,                0.94746,                0.93106,                0.96635,                0.65976,                  1.181,                0.45879,                 1.0959,                0.00604,                0.00604,                0.00604
                     43,                 1.1185,                0.57859,                 1.0874,                0.94913,                0.92905,                 0.9675,                0.66045,                 1.1786,                0.45626,                 1.0944,               0.005941,               0.005941,               0.005941
                     44,                 1.1107,                0.56804,                 1.0844,                0.94575,                 0.9317,                0.96765,                0.65808,                 1.1877,                0.46205,                 1.0993,               0.005842,               0.005842,               0.005842
                     45,                 1.1127,                  0.571,                 1.0856,                0.94959,                0.92832,                 0.9669,                 0.6609,                 1.1836,                0.45681,                 1.0983,               0.005743,               0.005743,               0.005743
                     46,                 1.1073,                0.56449,                 1.0842,                0.94945,                0.92758,                0.96657,                0.65912,                 1.1823,                0.45561,                 1.0982,               0.005644,               0.005644,               0.005644
